"","id","name","lat","long","date","areaSqKm","boundary","initGovt","initRebel","initCiv","initOther","targetGovt","targetRebel","targetCiv","targetOther","direct","hometownRel","governanceApproval","difficultFindJob","stdLiving","orgs","year","yearsSince1969"
"54",1696,"Armagh",54.1887207,-6.362110138,19850228,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1985,16
"55",370,"Armagh",54.33183994,-6.656287949,19790224,1368.053543,0,0,1,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1979,10
"56",1106,"Armagh",54.18859863,-6.361060143,19740525,1368.053543,0,0,1,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"57",8192,"Armagh",54.179783,-6.34079,19740814,1368.053543,1,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"58",1107,"Armagh",54.18859863,-6.361060143,19740528,1368.053543,0,0,1,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"59",8343,"Armagh",54.34640121,-6.656970024,19741009,1368.053543,0,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"60",371,"Armagh",54.33183995,-6.656287962,19790224,1368.053543,0,0,1,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1979,10
"61",636,"Armagh",54.18632,-6.382192,19710906,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1971,2
"62",9058,"Armagh",54.344944,-6.660696,19821212,1368.053543,0,1,0,0,0,0,1,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1982,13
"63",6679,"Armagh",54.40813828,-6.6072402,19730325,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"64",1534,"Armagh",54.34640121,-6.656970024,19810519,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1981,12
"65",1842,"Armagh",54.183524,-6.348041,19900416,1368.053543,0,0,1,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1990,21
"66",1278,"Armagh",54.34640121,-6.656970024,19751122,1368.053543,0,0,1,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1975,6
"67",668,"Armagh",54.46709824,-6.338129997,19711124,1368.053543,1,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1971,2
"68",113,"Armagh",54.1887207,-6.362110138,19720822,1368.053543,0,0,1,0,0,0,0,1,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"69",7711,"Armagh",54.18859863,-6.361060143,19740515,1368.053543,0,1,0,0,0,0,1,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"70",764,"Armagh",54.34640121,-6.656970024,19720515,1368.053543,0,0,1,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"71",9122,"Armagh",54.40813828,-6.6072402,19870508,1368.053543,0,1,0,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1987,18
"72",8344,"Armagh",54.34640121,-6.656970024,19741009,1368.053543,0,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"73",1984,"Armagh",54.351872,-6.6631,19690814,1368.053543,0,1,0,0,0,0,0,1,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1969,0
"74",1874,"Armagh",54.305347,-6.532185,19910531,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1991,22
"75",3910,"Armagh",54.175348,-6.340471,19690111,1368.053543,1,0,0,0,1,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1969,0
"76",7098,"Armagh",54.34640121,-6.656970024,19730721,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"77",6228,"Armagh",54.34640121,-6.656970024,19721207,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"78",7960,"Armagh",54.410437,-6.413586,19740619,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"79",112,"Armagh",54.1887207,-6.362110138,19720822,1368.053543,0,0,1,0,0,0,0,1,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"80",3008,"Armagh",54.34640121,-6.656970024,19750904,1368.053543,0,1,0,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1975,6
"81",1710,"Armagh",54.34605136,-6.654407216,19860101,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1986,17
