id,date,lat,long,initGovt,initRebel,initCiv,initOther,targetGovt,targetRebel,targetCiv,targetOther,direct,name,areaSqKm,boundary
167,19740326,54.590148,-5.995758,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
168,19740331,54.59201913,-5.925825165,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
172,19740418,54.69977188,-6.596849918,0,1,0,0,0,0,1,0,0,Mid Ulster,2757.272662,0
173,19740420,54.592304,-6.044342,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,0
174,19740531,54.99810028,-7.30934,0,1,0,0,0,0,1,0,1,Londonderry,1526.103519,0
175,19740705,54.59715,-5.947294,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
177,19740720,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
178,19740818,54.616175,-5.93435,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,0
179,19740824,54.50226974,-6.772769928,0,1,0,0,0,0,1,0,1,Fermanagh and South Tyrone,3064.088904,0
180,19740907,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
181,19740916,54.576029,-5.944356,0,1,0,0,0,0,1,0,1,Belfast South,24.27765275,0
182,19740916,54.578864,-5.99987,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
184,19741005,55.022245,-7.313197,0,1,0,0,0,0,1,0,1,Londonderry,1526.103519,0
185,19741021,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
186,19741030,54.66319395,-5.982612405,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,0
188,19741112,54.607244,-5.973617,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
189,19741117,54.630425,-5.973151,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
211,19741123,54.630425,-5.973151,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
212,19741123,54.630425,-5.973151,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
213,19741125,54.60992389,-5.961831099,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
214,19741126,54.612148,-5.929154,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
216,19750211,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
217,19750227,54.60503986,-5.974480472,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
218,19750228,54.62892245,-5.969974063,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
219,19750306,54.44459,-6.364421,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,1
220,19750312,54.616822,-5.942909,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
221,19750324,54.1887207,-6.362110138,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
222,19750405,54.604241,-5.951927,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
223,19750405,54.604241,-5.951927,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
224,19750405,54.613946,-5.9678,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
225,19750405,54.613946,-5.9678,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
226,19750406,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
227,19750412,54.596306,-5.898515,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,0
228,19750413,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
229,19750601,54.41501999,-8.090530396,0,1,0,0,0,0,1,0,1,Fermanagh and South Tyrone,3064.088904,0
230,19750603,54.181418,-6.407507,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
231,19750603,54.1887207,-6.362110138,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
232,19750609,54.60682664,-5.961580254,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
233,19750610,54.630425,-5.973151,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
234,19750614,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
235,19750624,54.59201913,-5.925825165,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,1
236,19750813,54.603582,-5.94157,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
237,19750813,54.603582,-5.94157,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
238,19750813,54.603582,-5.94157,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
239,19750813,54.604241,-5.951927,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
240,19750813,54.604241,-5.951927,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
241,19750815,54.348049,-6.653955,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
242,19750815,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
243,19750815,54.59712776,-5.953853199,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
244,19750821,54.644347,-5.934701,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
245,19750901,54.60297,-5.929758,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
246,19750902,54.611885,-5.934189,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
249,19750908,54.59457256,-5.927363974,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,1
250,19750912,54.71842957,-6.21201992,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,0
251,19751003,54.59514093,-5.927462691,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,1
252,19751006,54.596306,-5.898515,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,0
254,19751010,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
256,19751030,54.594906,-5.96454,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
257,19751101,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
258,19751105,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
259,19751111,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
261,19751112,54.596376,-5.957977,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
265,19751202,55.003973,-7.321963,0,1,0,0,0,0,1,0,1,Londonderry,1526.103519,0
266,19751202,55.003973,-7.321963,0,1,0,0,0,0,1,0,1,Londonderry,1526.103519,0
267,19751231,54.37319183,-6.359360218,0,1,0,0,0,0,1,0,1,South Down,1797.012474,0
268,19751231,54.37319183,-6.359360218,0,1,0,0,0,0,1,0,1,South Down,1797.012474,0
269,19751231,54.37319183,-6.359360218,0,1,0,0,0,0,1,0,1,South Down,1797.012474,0
270,19760105,54.22180176,-6.486440182,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
271,19760105,54.22180176,-6.486440182,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
272,19760105,54.22180176,-6.486440182,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
273,19760105,54.22180176,-6.486440182,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
274,19760105,54.22180176,-6.486440182,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
275,19760105,54.22180176,-6.486440182,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
276,19760105,54.22180176,-6.486440182,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
