"","name","year","id","initGovt","initRebel","initOther","targetCiv","direct","religion","governance","polNet","employment","stdLiving","clubs","yearsSince1969","govtAttacks","rebelAttacks","loyalistAttacks","govtAll","rebelAll","loyalistAll"
"55","Armagh",1972,5842,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"56","Armagh",1972,869,0,1,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"57","Armagh",1972,5744,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"58","Armagh",1972,865,0,1,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"59","Armagh",1972,5745,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"60","Armagh",1972,5721,1,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"61","Armagh",1972,4754,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"62","Armagh",1972,866,0,1,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"63","Armagh",1972,4614,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"64","Armagh",1972,2290,1,0,0,1,1,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"65","Armagh",1972,6272,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"66","Armagh",1972,5277,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"67","Armagh",1972,867,0,1,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"68","Armagh",1972,6222,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"69","Armagh",1972,874,0,1,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
